TYPE,URL,IP
"Sakura EK 1.1",affabhjig.co.cc/forum/includes/login.php,88.198.23.44
Blackhole,bid.ironmangames.info/bhadmin.php,146.185.236.122
Blackhole,bestgos.org/bhadmin.php,31.184.244.23
Blackhole,personalizationfreezing.info/bhadmin.php,5.39.59.131
Blackhole,65.75.145.106/Home/bhadmin.php,
Blackhole,swithz.com/bhadmin.php,37.9.61.171
Blackhole,www.omgjackpot.tv/master.php,217.23.12.215
"Sweet Orange",casinotreklist.com:8583/aw/index.php?m=stats,46.4.148.69
Blackhole,bird.kidsworldgames.info/bhadmin.php,146.185.236.123
SUTRA,www.securitymonitor2012in.com/admin/,178.162.134.139
Blackhole,frtuiop.3-a.net/bhadmin.php,194.219.29.235
SUTRA,igahicfrwwfpjhef.ru/admin/,178.216.52.75
Blackhole,img.showermedallions.com/panel.php,184.82.87.100
Blackhole,allbooksbest.com/bhadmin.php,184.107.119.39
Blackhole,wpogkco.almostmy.com/bhadmin.php,178.216.52.79
"Sakura EK 1.1",31173fd.sytes.net/includes/login.php,128.204.194.109
Blackhole,zserty.lflink.com/bhadmin.php,194.219.29.235
Ulocker,hopobtop.hopto.org/lock/Html2/stat/login.php,95.105.73.107
Blackhole,bikeslam.net/bhadmin.php,109.164.221.176
Citadel,lomdebips.com/webserver/cp.php,89.46.251.181
ZeuS,synchro.ignorelist.com:8080/images/cp.php?m=login,72.20.9.99
SUTRA,95.211.128.197/tds/admin/,
Blackhole,abtdularvoelous.serveblog.net/bhadmin.php,208.93.233.135
TDS,mainseonline.com/ts/bos/,176.9.165.219
TDS,mainseonline.com/ts/user/,176.9.165.219
SUTRA,mainseonline.com/tds/admin/,176.9.165.219
"Sakura EK 1.1",loaynastefania.servegame.com/forum/includes/login.php,91.217.82.188
Winlock,plhnilgjh.digital-trading-adv.su/admin/,188.127.227.117
Blackhole,pakalclown.com/bhadmin.php,31.184.244.23
Blackhole,svetliyfart.info/panel.php,178.162.129.219
Andromeda,down4life.hopto.org/xbox/stat.php,193.28.228.84
Winlock,176.9.165.12/login.php,
Blackhole,aqjdsoev.almostmy.com/bhadmin.php,5.153.238.3
Unknown,supercraft.info/,71.120.1.73
